"ginaAllmeans" "ginaAllsd" "gina0means" "gina0sd" "gina12means" "gina12sd" "gina345means" "gina345sd"
"Age..years." 55.6857142857143 14.0686790812939 54.2727272727273 14.526464876844 65.7142857142857 8.51888658050033 52.4705882352941 14.3226989733902
"Sex.m.1" 15 20 5 6 3 4 7 10
"BMI" 26.872 4.67159237242695 28.3390909090909 4.72569667783588 25.7357142857143 5.24621405441695 26.3905882352941 4.45039249756164
"Post.BD.FEV1..L." 2.83142857142857 1.07617006871903 3.57545454545455 1.01577914564499 2.19428571428571 0.662491689076352 2.61235294117647 1.02098316227402
"FEV1_FVC" 0.741182961414059 0.116248375072017 0.796759103103508 0.037145731880946 0.695332683354352 0.123531638387043 0.724101454816059 0.1370344595019
"FVC..L." 3.80095238095143 1.21508211923505 4.46393939393636 1.13278400233611 3.15714285714286 0.895092440025317 3.63705882352941 1.23405208918568
"GINA.class" 2 1.68033610083361 0 0 1.42857142857143 0.534522483824849 3.52941176470588 0.717430053979439
